pdb_id,cluster_v2_id,Within_PDB_rank,Without_O_rel_score,Without_O_rel_rank
1TCO,1TCO_V2C037,63,29.720045133438,40
1TCO,1TCO_V2C043,21,29.6813600372842,41
1TCO,1TCO_V2C064,62,29.4670018642072,42
1TCO,1TCO_V2C035,22,29.2382566718995,43
1TCO,1TCO_V2C061,53,29.0888840757457,44
1TCO,1TCO_V2C067,48,29.0469177295919,45
1TCO,1TCO_V2C065,64,28.9996004218995,46
1TCO,1TCO_V2C070,69,28.9079946526688,47
1TCO,1TCO_V2C030,57,28.8366484988226,48
1TCO,1TCO_V2C033,51,28.8343600372841,49
1TCO,1TCO_V2C056,29,28.789701383438,50
1TCO,1TCO_V2C032,43,28.7848720565149,51
1TCO,1TCO_V2C059,55,28.6065908065149,52
1TCO,1TCO_V2C049,37,28.5926412872841,53
1TCO,1TCO_V2C068,70,28.5155908065149,54
1TCO,1TCO_V2C052,58,28.5080355180534,55
1TCO,1TCO_V2C048,30,28.4300427295918,56
1TCO,1TCO_V2C038,23,28.3899105180534,57
1TCO,1TCO_V2C054,71,28.3310331142072,58
1TCO,1TCO_V2C058,66,28.3179754218995,59
1TCO,1TCO_V2C072,65,28.3146773449764,60
1TCO,1TCO_V2C047,26,28.309326383438,61
1TCO,1TCO_V2C063,72,28.3002398449764,62
1TCO,1TCO_V2C044,67,28.2968744603611,63
1TCO,1TCO_V2C060,46,28.2894033065149,64
1TCO,1TCO_V2C031,56,28.2885619603611,65
1TCO,1TCO_V2C069,50,28.2851965757457,66
1TCO,1TCO_V2C045,73,28.2835643642072,67
1TCO,1TCO_V2C039,33,28.2814609988226,68
1TCO,1TCO_V2C050,59,28.2797446526688,69
1TCO,1TCO_V2C051,52,28.2777254218995,70
1TCO,1TCO_V2C057,42,28.2769682103611,71
1TCO,1TCO_V2C046,68,28.2765475372842,72
1TCO,1TCO_V2C040,45,28.2540499411303,73
3DJI,3DJI_V2C004,1,86.3030356957328,1
3DJI,3DJI_V2C002,2,85.4439731962774,2
3DJI,3DJI_V2C001,3,84.6022683727786,3
3DJI,3DJI_V2C003,4,82.5250807551987,4
3DJI,3DJI_V2C007,6,71.4725058250021,5
3DJI,3DJI_V2C012,5,68.1868131868132,6
3DJI,3DJI_V2C005,7,60.1286578625134,7
3DJI,3DJI_V2C006,8,57.676266042338,8
3DJI,3DJI_V2C011,9,52.1190054041353,9
3DJI,3DJI_V2C009,12,45.9924577067669,10
3DJI,3DJI_V2C008,10,43.162003068609,11
3DJI,3DJI_V2C010,11,39.889855568609,12
3DJI,3DJI_V2C021,13,38.1679236305048,13
3DJI,3DJI_V2C015,44,28.7511004218995,14
3DJI,3DJI_V2C019,18,28.5920355180534,15
3DJI,3DJI_V2C042,24,28.5886364795918,16
3DJI,3DJI_V2C018,17,28.5835715757457,17
3DJI,3DJI_V2C044,30,28.5804754218995,18
3DJI,3DJI_V2C046,14,28.5505739795918,19
3DJI,3DJI_V2C039,21,28.5302134026688,20
3DJI,3DJI_V2C038,40,28.5228432103611,21
3DJI,3DJI_V2C016,23,28.4632759026688,22
3DJI,3DJI_V2C027,42,28.4140571526688,23
3DJI,3DJI_V2C047,41,28.4096989795918,24
3DJI,3DJI_V2C029,22,28.4043143642072,25
3DJI,3DJI_V2C031,37,28.4029009026688,26
3DJI,3DJI_V2C041,38,28.402076383438,27
3DJI,3DJI_V2C020,29,28.3890691718995,28
3DJI,3DJI_V2C033,48,28.3883624411303,29
3DJI,3DJI_V2C037,36,28.3843744603611,30
3DJI,3DJI_V2C035,35,28.3724273449765,31
3DJI,3DJI_V2C040,16,28.3363335949764,32
3DJI,3DJI_V2C023,31,28.3286941718995,33
3DJI,3DJI_V2C032,25,28.3286100372841,34
3DJI,3DJI_V2C036,26,28.3177398449765,35
3DJI,3DJI_V2C022,27,28.3171677295918,36
3DJI,3DJI_V2C013,46,28.3051364795918,37
3DJI,3DJI_V2C028,33,28.3044634026688,38
3DJI,3DJI_V2C045,43,28.3018552295918,39
3DJI,3DJI_V2C048,34,28.3005259026688,40
3DJI,3DJI_V2C014,28,28.299263883438,41
3DJI,3DJI_V2C017,39,28.2894033065149,42
3DJI,3DJI_V2C043,47,28.2872494603611,43
3DJI,3DJI_V2C024,19,28.2808384026688,44
3DJI,3DJI_V2C030,32,28.2800811911303,45
3DJI,3DJI_V2C025,45,28.277388883438,46
3DJI,3DJI_V2C026,20,28.2771364795918,47
3DJI,3DJI_V2C034,15,28.2763792680534,48
4W9H,4W9H_V2C003,1,89.8563831578947,1
4W9H,4W9H_V2C005,2,84.7463538486842,2
4W9H,4W9H_V2C001,10,81.8991607675439,3
